Название,Жанр,Режиссер,Страны,Год,IMDb
Друзья и годы,Киноповесть,Виктор Соколов,СССР,1965,7.5
Драйвер на ночь,криминальная комедия,Джо Карнахан,США,2014,6.5
"Драйв (фильм, 2011)","нео-нуар, триллер, драма",Николас Виндинг Рефн,США,2011,7.8
"Дракула (фильм, 1958)",Ужасы,Теренс Фишер,Великобритания,"8 мая, 1958, 22 мая, 1958, 16 июня, 1958, 12 декабря, 1958, 1958",7.2
Душечка (фильм),драма,Сергей Колосов,СССР,,7.4
Душевная рана,драма,Явуз Тургул,Турция,2004,7.8
"Душечка (фильм, 1989)","комедийный фильм, комедийная драма",Джейн Кэмпион,Австралия,"1989, 12 октября, 1989",6.7
Душа тишины,"драматический, триллер",Джейми Бэббит,США,2006,6.1
Душевная кухня,кинокомедия,Фатих Акин,"Германия, Франция","10 сентября, 2009, 21 октября, 2010, 25 декабря, 2009",7.2
Душа компании,комедия,Бен Фальконе,США,2018,5.6
Единство (фильм),документальный фильм,Шон Монсон,США,2015,7.3
"Единственный (фильм, 2003)","драма, боевик, триллер",Гунашекхар,Индия,2003,8.0
Единственная…,мелодрама,Иосиф Хейфиц,СССР,1975,6.5
Единственный сын,драма,Ясудзиро Одзу,Япония,1936,7.7
Драйлебен (кинотрилогия),"драма, триллер","Кристиан Петцольд, Доминик Граф, Кристоф Хоххойслер, Режиссёры трилогии на Берлинском кинофестивале (Фото), Режиссёры трилогии на Берлинском кинофестивале (Фото), Режиссёры трилогии на Берлинском кинофестивале (Видео пресс-конференции)",Германия,2011,6.8
Единорог (фильм),комедия,Роберт Коппола Шварцман,США,2018,5.2
Железная пята (фильм),Фантастика,"Владимир Гардин, Тамара Глебова, Андрей Горчилин, Евгений Иванов-Барков, Леонид Леонидов, Ольга Преображенская",РСФСР,1919,
Железная госпожа,"боевик, приключенческий фильм",Сун Цуньшоу,Китайская Республика,1969,6.2
Желаю успеха,,Александр Косарев,СССР,1980,
Женщина в песках (фильм),драма,Хироси Тэсигахара,Япония,1964,8.5
Желание сердца,Комедия,Михаэль Койш,Германия,1999,5.5
Железная обезьяна,"боевик, комедия, приключенческий фильм, кунг-фу",Юнь Вопхин,"Гонконг, США",,7.5
"Железная Обезьяна (фильм, 1977)",боевик,Чэнь Гуаньтай,"Гонконг, Китайская Республика",1977,6.4
Единственная дорога,"драма, военный фильм",Владимир Павлович,"СССР, Югославия",1974,5.9
