Название,Жанр,Режиссер,Страны,Год,IMDb
Хребет России,"иденти, краеведческий","Сергей Нурмамед, Иван Скворцов, Андрей Лазарев",Россия,2010,
Федька,военный фильм,Николай Лебедев,СССР,1936,4.6
Федора (фильм),драма,Билли Уайлдер,"Германия, Франция",1978,6.8
"Франция, песня",документальный,Юрий Альдохин,СССР,1969,
"Франциск, менестрель Божий",драма,Роберто Росселлини,Италия,1950,7.3
"Франция (фильм, 2007)","военный фильм, драматический фильм",Серж Бозон,Франция,2007,6.4
"Хищники (фильм, 2010)","фантастика, боевик, триллер, ужасы",Нимрод Антал,США,2010,6.4
Франциск (фильм),"фильм-биография, Драма",Лилиана Кавани,"Италия, Германия",1989,6.3
Хищники Атлантиды,"приключения, боевик, фантастика",Руджеро Деодато,Италия,1983,4.8
Франкофония (фильм),"документальная, драма",Александр Сокуров,"Франция, Германия, Нидерланды",2015,6.6
Хром (фильм),фильм-драма,Буяр Алимани,Албания,2015,6.9
Франц (фильм),драма,Франсуа Озон,"Франция, Германия",2016,7.5
Хризантемы (фильм),драма,Пётр Чардынин,Российская империя,1914,5.8
Христиане (фильм),драма,Дмитрий Золотухин,СССР,1987,6.6
Христофор Колумб: Завоевание Америки,"приключенческий фильм, фильм-биография, драма, исторический фильм",Джон Глен,"Великобритания, США, Испания",1992,4.4
Хэллоуинтаун 2: Месть Калабара,фэнтези для детей,Мэри Ламберт,США,"12 октября, 2001",6.3
Хэллоуинтаун,"фэнтези, комедия, приключения, семейный",Дуэйн Данэм,США,1998,6.6
"Чайка (фильм, 2018)",драма,Майкл Майер,США,2018,5.7
Челкаш (фильм),"драма, экранизация",Фёдор Филиппов,СССР,1956,
Чего хочет девушка,комедия,Дэнни Гордон,США,2003,5.8
Челленджер (фильм),драма,Джеймс Хоуз,"США, Великобритания",,7.2
Человек в коротких штанишках (фильм),мелодрама,Glauco Pellegrini,"Италия, Испания",1957,6.7
"Человек, который смеётся (мини-сериал)","исторический фильм, драма",Жан Кершброн,Франция,,7.2
"Человек, который слишком много знал (фильм, 1956)","шпионский, триллер",Альфред Хичкок,США,1956,7.4
"Человек, который познал бесконечность","драма, биография",Мэтт Браун,Великобритания,2015,7.2
"Человек, который слишком много знал (фильм, 1934)",детектив,Альфред Хичкок,Великобритания,"1934, 9 декабря, 1934, 4 февраля, 1935, 21 марта, 1935, 5 апреля, 1935",6.7
